ID,Species,Group,Area,Survey,Type,Value,Harbour,POINT_X,POINT_Y
285,Mew Gull,Gulls and Terns,All,Aug-97,Count,48,Esquimalt,466594.6109,5366825.497
286,California Gull,Gulls and Terns,All,Aug-97,Count,263,Esquimalt,467471.9657,5364704.588
287,Thayer's Gull,Gulls and Terns,All,Aug-97,Count,NA,Sooke,450396.503,5357656.926
288,Glaucous-winged Gull,Gulls and Terns,All,Aug-97,Count,408,Sooke,450430.6968,5358668.268
289,Western Gull,Gulls and Terns,All,Aug-97,Count,NA,Esquimalt,468450.7748,5364393.827
290,gull sp.,Gulls and Terns,All,Aug-97,Count,60,Sooke,451345.4486,5357645.347
291,Caspian Tern,Gulls and Terns,All,Aug-97,Count,NA,Esquimalt,468610.1563,5364702.093
292,Common Murra,Auks,All,Aug-97,Count,23,Esquimalt,467149.8591,5365671.122
293,Pigeon Guillemot,Auks,All,Aug-97,Count,1,Sooke,450545.8204,5359438.251
294,Marbled Murrrelet,Auks,All,Aug-97,Count,NA,Sooke,451066.4451,5359026.209
295,Cassln's Auklet,Auks,All,Aug-97,Count,NA,Sooke,451271.4187,5359763.03
296,Rhinoceros Auklet,Auks,All,Aug-97,Count,21,Sooke,451006.6832,5357394.727
297,Pied-billed Grebe,Loons and Grebes,A,Aug-97,Count,NA,Esquimalt,467705.0386,5365138.409
298,Horned Grebe,Loons and Grebes,A,Aug-97,Count,NA,Esquimalt,466783.511,5365745.801
299,Western Grebe,Loons and Grebes,A,Aug-97,Count,NA,Esquimalt,466738.2517,5366715.81
300,Double-crested Cormorant,Cormorants,A,Aug-97,Count,NA,Sooke,452807.5562,5357426.995
301,Great Blue Heron,Herons,A,Aug-97,Count,NA,Sooke,452628.9147,5358353.476
302,Mute Swan,Waterfowl,A,Aug-97,Count,NA,Esquimalt,466851.1207,5364677.786
303,Canada Goose,Waterfowl,A,Aug-97,Count,1,Sooke,449640.8044,5358887.065
304,Wood Duck,Waterfowl,A,Aug-97,Count,NA,Sooke,450865.9397,5358428.174
305,Green-winged Teal,Waterfowl,A,Aug-97,Count,3,Sooke,452723.2825,5358834.165
306,Gadwall,Waterfowl,A,Aug-97,Count,NA,Sooke,451841.3724,5359225.101
307,Mallard,Waterfowl,A,Aug-97,Count,31,Sooke,451323.7955,5357930.492
308,Northern Pintail,Waterfowl,A,Aug-97,Count,1,Esquimalt,466897.2796,5365271.621
309,Eurasian Wigeon,Waterfowl,A,Aug-97,Count,NA,Esquimalt,467949.2004,5364474.212
310,American Wigeon,Waterfowl,A,Aug-97,Count,NA,Sooke,452798.6485,5358376.312
311,Canvasback,Waterfowl,A,Aug-97,Count,NA,Esquimalt,466946.0033,5364917.668
312,Greater Scaup,Waterfowl,A,Aug-97,Count,NA,Esquimalt,466503.2726,5366933.606
313,Lesser Scaup,Waterfowl,A,Aug-97,Count,NA,Esquimalt,467506.0722,5364960.085
314,Scaup sp.,Waterfowl,A,Aug-97,Count,NA,Sooke,451555.3137,5357884.11
315,Surf Scoter,Waterfowl,A,Aug-97,Count,NA,Esquimalt,466589.078,5366840.807
316,Common Goldeneye,Waterfowl,A,Aug-97,Count,NA,Sooke,450150.2782,5358453.415
317,Bufflehead,Waterfowl,A,Aug-97,Count,NA,Sooke,449903.0118,5358937.85
318,Hooded Merganser,Waterfowl,A,Aug-97,Count,NA,Sooke,452068.2469,5358715.378
319,Common Merganser,Waterfowl,A,Aug-97,Count,NA,Esquimalt,467917.5783,5365287.72
320,American Coot,Coots,A,Aug-97,Count,NA,Esquimalt,467328.04,5366367.284
321,Killdeer,Shorebirds,A,Aug-97,Count,NA,Esquimalt,467897.0563,5364591.041
322,Western Sandpiper,Shorebirds,A,Aug-97,Count,1,Sooke,449397.3274,5359018.033
323,California Gull,Gulls and Terns,A,Aug-97,Count,1,Sooke,450368.8795,5357359.534
324,Glaucous-winged Gull,Gulls and Terns,A,Aug-97,Count,16,Esquimalt,467345.453,5364591.444
325,Belted Kingfisher,Kingfishers,A,Aug-97,Count,NA,Sooke,449676.3647,5359094.902
326,Double-crested Cormorant,Cormorants,B,Aug-97,Count,5,Esquimalt,467029.2945,5364418.675
327,Great Blue Heron,Herons,B,Aug-97,Count,NA,Sooke,452306.9194,5357338.973
328,Trumpeter Swan,Waterfowl,B,Aug-97,Count,NA,Esquimalt,466813.6137,5364481.208
329,Canada Goose,Waterfowl,B,Aug-97,Count,11,Esquimalt,466994.465,5364963.752
330,Mallard,Waterfowl,B,Aug-97,Count,7,Sooke,449714.5747,5357849.439
331,Eurasian Wigeon,Waterfowl,B,Aug-97,Count,NA,Esquimalt,467674.0588,5365208.87
332,American Wigeon,Waterfowl,B,Aug-97,Count,NA,Sooke,451491.6673,5359713.826
333,Canvasback,Waterfowl,B,Aug-97,Count,NA,Sooke,450827.1452,5357893.916
334,Greater Scaup,Waterfowl,B,Aug-97,Count,NA,Sooke,450516.5304,5359412.96
335,scaup sp.,Waterfowl,B,Aug-97,Count,NA,Esquimalt,467803.0587,5366298.375
336,Bufflehead,Waterfowl,B,Aug-97,Count,NA,Esquimalt,466816.5183,5364452.861
337,Hooded Merganser,Waterfowl,B,Aug-97,Count,NA,Esquimalt,467874.596,5364756.128
338,Common Merganser,Waterfowl,B,Aug-97,Count,NA,Esquimalt,467279.258,5366239.133
339,Red-breasted Merganser,Waterfowl,B,Aug-97,Count,NA,Sooke,451299.1854,5358660.156
340,Western Sandpiper,Shorebirds,B,Aug-97,Count,3,Esquimalt,468216.7037,5364435.285
341,Least Sandpiper,Shorebirds,B,Aug-97,Count,1,Sooke,451451.1874,5357912.768
342,Mew Gull,Gulls and Terns,B,Aug-97,Count,NA,Sooke,452440.5671,5358287.035
343,California Gull,Gulls and Terns,B,Aug-97,Count,1,Esquimalt,466755.3692,5366018.413
344,Glaucous-winged Gull,Gulls and Terns,B,Aug-97,Count,2,Esquimalt,466731.1467,5366783.987
345,Belted Kingfisher,Kingfishers,B,Aug-97,Count,1,Sooke,450332.596,5357580.219
346,Red-throated Loon,Loons and Grebes,All,Oct-97,Count,NA,Esquimalt,467315.5632,5364474.253
347,Pacific Loon,Loons and Grebes,All,Oct-97,Count,NA,Sooke,450953.445,5357748.598
348,Common Loon,Loons and Grebes,All,Oct-97,Count,14,Esquimalt,467726.5239,5365599.631
349,Yellow-billed Loon,Loons and Grebes,All,Oct-97,Count,NA,Esquimalt,467697.1136,5365040.408
350,Pied--bllled Grebe,Loons and Grebes,All,Oct-97,Count,NA,Esquimalt,466955.7796,5365162.668
351,Eared Grebe,Loons and Grebes,All,Oct-97,Count,1,Sooke,450727.3686,5357830.676
352,Red-necked Grebe,Loons and Grebes,All,Oct-97,Count,16,Sooke,451808.6756,5358784.746
353,Horned Grebe,Loons and Grebes,All,Oct-97,Count,31,Esquimalt,466891.5517,5365708.519
354,Western Grebe,Loons and Grebes,All,Oct-97,Count,1,Esquimalt,467493.8412,5364604.729
355,Double-crested Cormorant,Cormorants,All,Oct-97,Count,94,Esquimalt,467012.5642,5365381.42
356,Brandt's Cormorant,Cormorants,All,Oct-97,Count,3,Sooke,450269.5968,5358044.828
357,Pelagic Cormorant,Cormorants,All,Oct-97,Count,3,Sooke,450517.7703,5358781.435
358,Great Blue Heron,Herons,All,Oct-97,Count,17,Sooke,450044.0512,5359204.026
359,Mute Swan,Waterfowl,All,Oct-97,Count,14,Sooke,452526.1166,5357945.65
360,Trumpeter Swan,Waterfowl,All,Oct-97,Count,NA,Sooke,450430.978,5357693.361
361,Canada Goose,Waterfowl,All,Oct-97,Count,502,Esquimalt,466409.068,5367167.365
362,Brant,Waterfowl,All,Oct-97,Count,NA,Esquimalt,467155.7082,5366104.001
363,Wood Duck,Waterfowl,All,Oct-97,Count,2,Esquimalt,466714.0648,5366705.861
364,Green-winged Teal,Waterfowl,All,Oct-97,Count,92,Esquimalt,467347.8844,5365372.425
365,Gadwall,Waterfowl,All,Oct-97,Count,NA,Esquimalt,467450.2683,5364673.226
366,Mallard,Waterfowl,All,Oct-97,Count,430,Esquimalt,467308.9427,5365167.649
367,Northern Pintail,Waterfowl,All,Oct-97,Count,37,Sooke,451255.2422,5358035.672
368,Eurasian Wigeon,Waterfowl,All,Oct-97,Count,NA,Sooke,452149.2665,5359233.185
369,American Wigeon,Waterfowl,All,Oct-97,Count,115,Esquimalt,467709.0772,5365547.443
370,Canvasback,Waterfowl,All,Oct-97,Count,14,Sooke,449809.6622,5358862.514
371,Greater Scaup,Waterfowl,All,Oct-97,Count,1,Sooke,450723.5708,5358435.189
372,Lesser Scaup,Waterfowl,All,Oct-97,Count,NA,Sooke,451214.505,5358167.176
373,scaup sp.,Waterfowl,All,Oct-97,Count,125,Esquimalt,467438.7791,5364878.652
374,Harlequin Duck,Waterfowl,All,Oct-97,Count,19,Esquimalt,467071.7205,5364404.883
375,Oldsquaw,Waterfowl,All,Oct-97,Count,3,Sooke,452351.4712,5357747.46
376,Surf Seater,Waterfowl,All,Oct-97,Count,81,Esquimalt,467005.5064,5364482.649
377,White-w inged Scoter,Waterfowl,All,Oct-97,Count,7,Esquimalt,467264.3621,5365003.313
378,Common Goldeneye,Waterfowl,All,Oct-97,Count,NA,Esquimalt,467354.04,5365029.596
379,Bufflehead,Waterfowl,All,Oct-97,Count,106,Esquimalt,466732.119,5366144.047
380,Hooded Merganser,Waterfowl,All,Oct-97,Count,22,Esquimalt,467852.6747,5366313.661
381,Common Merganser,Waterfowl,All,Oct-97,Count,NA,Sooke,450361.1277,5358444.084
382,Red-breasted Merganser,Waterfowl,All,Oct-97,Count,50,Sooke,450170.858,5358817.396
383,American Coot,Coots,All,Oct-97,Count,45,Sooke,449865.3875,5358301.337
384,Semipalmated Plover,Shorebirds,All,Oct-97,Count,NA,Sooke,449918.3558,5357905.113
385,Killdeer,Shorebirds,All,Oct-97,Count,4,Sooke,451561.7182,5359799.801
386,Black-bellied Plover,Shorebirds,All,Oct-97,Count,NA,Sooke,451000.4205,5359530.315
387,Black Oystercatcher,Shorebirds,All,Oct-97,Count,2,Esquimalt,467151.3485,5365492.059
388,Greater Yellowlegs,Shorebirds,All,Oct-97,Count,1,Sooke,450388.6287,5358302.825
389,Ruddy Turnstone,Shorebirds,All,Oct-97,Count,NA,Sooke,452454.3603,5358772.313
390,Black Turnstone,Shorebirds,All,Oct-97,Count,31,Sooke,452141.6198,5357305.458
391,Dunlin,Shorebirds,All,Oct-97,Count,32,Sooke,451115.9196,5358329.859
392,Western Sandpiper,Shorebirds,All,Oct-97,Count,NA,Sooke,451950.0411,5357583.525
393,Least Sandpiper,Shorebirds,All,Oct-97,Count,NA,Esquimalt,467047.6584,5366588.299
394,Sanderllng,Shorebirds,All,Oct-97,Count,3,Esquimalt,467749.7553,5365397.323
395,Short-billed Dowitcher,Shorebirds,All,Oct-97,Count,NA,Sooke,451665.7328,5359571.733
396,Common Snipe,Shorebirds,All,Oct-97,Count,1,Esquimalt,467231.3464,5365191.042
397,Red-necked Phalarope,Shorebirds,All,Oct-97,Count,NA,Esquimalt,466901.6774,5365440.8
398,Bonaparte's Gull,Gulls and Terns,All,Oct-97,Count,188,Esquimalt,467024.8534,5365216.075
399,Heermann's Gull,Gulls and Terns,All,Oct-97,Count,51,Esquimalt,466381.9701,5367151.594
400,Mew Gull,Gulls and Terns,All,Oct-97,Count,122,Esquimalt,467583.3023,5364523.973
401,California Gull,Gulls and Terns,All,Oct-97,Count,26,Esquimalt,467852.6177,5364851.829
402,Thayer's Gull,Gulls and Terns,All,Oct-97,Count,122,Esquimalt,467051.4834,5365383.146
403,Glaucous-winged Gull,Gulls and Terns,All,Oct-97,Count,337,Esquimalt,467902.0148,5364518.585
404,Western Gull,Gulls and Terns,All,Oct-97,Count,NA,Sooke,451189.7138,5357504.251
405,gull sp.,Gulls and Terns,All,Oct-97,Count,NA,Esquimalt,467540.5208,5366048.842
406,Caspian Tern,Gulls and Terns,All,Oct-97,Count,NA,Esquimalt,467425.7747,5365976.769
407,Common Murra,Auks,All,Oct-97,Count,5,Sooke,451376.3551,5359583.881
408,Pigeon Guillemot,Auks,All,Oct-97,Count,3,Sooke,449413.4769,5358833.581
409,Marbled Murrrelet,Auks,All,Oct-97,Count,6,Esquimalt,467040.5898,5366554.949
410,Cassln's Auklet,Auks,All,Oct-97,Count,1,Sooke,451782.5942,5358493.532
411,Rhinoceros Auklet,Auks,All,Oct-97,Count,32,Sooke,450857.8982,5358136.047
412,Pied-billed Grebe,Loons and Grebes,A,Oct-97,Count,NA,Esquimalt,467186.6902,5366513.061
413,Horned Grebe,Loons and Grebes,A,Oct-97,Count,1,Sooke,449358,5358809.061
414,Western Grebe,Loons and Grebes,A,Oct-97,Count,NA,Sooke,450725.1338,5357862.664
415,Double-crested Cormorant,Cormorants,A,Oct-97,Count,14,Esquimalt,468045.5354,5365138.8
416,Great Blue Heron,Herons,A,Oct-97,Count,5,Esquimalt,467046.7257,5364993.184
417,Mute Swan,Waterfowl,A,Oct-97,Count,1,Sooke,450297.8462,5358818.156
418,Canada Goose,Waterfowl,A,Oct-97,Count,9,Esquimalt,467182.8317,5364661.52
419,Wood Duck,Waterfowl,A,Oct-97,Count,2,Sooke,450950.2827,5358246.749
420,Green-winged Teal,Waterfowl,A,Oct-97,Count,75,Sooke,450512.3187,5358649.738
421,Gadwall,Waterfowl,A,Oct-97,Count,NA,Sooke,452720.4802,5358796.694
422,Mallard,Waterfowl,A,Oct-97,Count,238,Sooke,451533.0885,5357481.809
423,Northern Pintail,Waterfowl,A,Oct-97,Count,11,Esquimalt,467065.7099,5364887.594
424,Eurasian Wigeon,Waterfowl,A,Oct-97,Count,NA,Esquimalt,466678.9385,5366702.144
425,American Wigeon,Waterfowl,A,Oct-97,Count,56,Sooke,451631.255,5357714.317
426,Canvasback,Waterfowl,A,Oct-97,Count,14,Sooke,451010.3194,5357649.864
427,Greater Scaup,Waterfowl,A,Oct-97,Count,NA,Esquimalt,467350.7821,5365635.49
428,Lesser Scaup,Waterfowl,A,Oct-97,Count,NA,Esquimalt,467104.1685,5366632.439
429,Scaup sp.,Waterfowl,A,Oct-97,Count,124,Sooke,452708.5971,5358861.564
430,Surf Scoter,Waterfowl,A,Oct-97,Count,27,Esquimalt,467187.7718,5365097.707
431,Common Goldeneye,Waterfowl,A,Oct-97,Count,NA,Esquimalt,467636.9974,5365700.018
432,Bufflehead,Waterfowl,A,Oct-97,Count,87,Esquimalt,468009.1043,5365555.882
433,Hooded Merganser,Waterfowl,A,Oct-97,Count,2,Esquimalt,466517.5928,5366647.631
434,Common Merganser,Waterfowl,A,Oct-97,Count,NA,Esquimalt,466891.8384,5366233.591
435,American Coot,Coots,A,Oct-97,Count,43,Sooke,449407.4811,5359022.554
436,Killdeer,Shorebirds,A,Oct-97,Count,NA,Sooke,449757.5454,5357760.9
437,Western Sandpiper,Shorebirds,A,Oct-97,Count,NA,Sooke,449538.6508,5359408.134
438,California Gull,Gulls and Terns,A,Oct-97,Count,NA,Esquimalt,467591.0681,5365699.434
439,Glaucous-winged Gull,Gulls and Terns,A,Oct-97,Count,17,Sooke,451756.8367,5358795.204
440,Belted Kingfisher,Kingfishers,A,Oct-97,Count,NA,Esquimalt,466923.8265,5366644.048
441,Double-crested Cormorant,Cormorants,B,Oct-97,Count,28,Esquimalt,467062.2711,5365737.237
442,Great Blue Heron,Herons,B,Oct-97,Count,NA,Esquimalt,466891.6235,5366406.744
443,Trumpeter Swan,Waterfowl,B,Oct-97,Count,NA,Sooke,451075.4019,5357763.885
444,Canada Goose,Waterfowl,B,Oct-97,Count,10,Esquimalt,468219.4741,5364799.244
445,Mallard,Waterfowl,B,Oct-97,Count,28,Esquimalt,467549.4071,5364692.347
446,Eurasian Wigeon,Waterfowl,B,Oct-97,Count,NA,Sooke,449707.2392,5357987.017
447,American Wigeon,Waterfowl,B,Oct-97,Count,NA,Sooke,450555.2776,5357703.204
448,Canvasback,Waterfowl,B,Oct-97,Count,NA,Sooke,450937.5304,5357395.139
449,Greater Scaup,Waterfowl,B,Oct-97,Count,NA,Esquimalt,467118.3826,5365328.697
450,scaup sp.,Waterfowl,B,Oct-97,Count,1,Esquimalt,467320.2493,5364491.703
451,Bufflehead,Waterfowl,B,Oct-97,Count,NA,Sooke,451895.0041,5358032.491
452,Hooded Merganser,Waterfowl,B,Oct-97,Count,1,Sooke,451718.2053,5358951.05
453,Common Merganser,Waterfowl,B,Oct-97,Count,NA,Esquimalt,467104.3201,5365758.655
454,Red-breasted Merganser,Waterfowl,B,Oct-97,Count,NA,Sooke,451137.4892,5358264.288
455,Western Sandpiper,Shorebirds,B,Oct-97,Count,NA,Esquimalt,467326.6635,5366192.653
456,Least Sandpiper,Shorebirds,B,Oct-97,Count,NA,Esquimalt,468137.3081,5364879.31
457,Mew Gull,Gulls and Terns,B,Oct-97,Count,NA,Esquimalt,467345.9444,5366338.217
458,California Gull,Gulls and Terns,B,Oct-97,Count,NA,Sooke,451939.961,5358848.697
459,Glaucous-winged Gull,Gulls and Terns,B,Oct-97,Count,16,Sooke,450554.4499,5358312.607
460,Belted Kingfisher,Kingfishers,B,Oct-97,Count,NA,Esquimalt,466744.912,5366028.94
461,Red-throated Loon,Loons and Grebes,All,Jan-98,Count,6,Esquimalt,467712.2486,5365247.979
462,Pacific Loon,Loons and Grebes,All,Jan-98,Count,8,Sooke,451905.8828,5359157.925
463,Common Loon,Loons and Grebes,All,Jan-98,Count,4,Esquimalt,466958.9089,5365013.902
464,Yellow-billed Loon,Loons and Grebes,All,Jan-98,Count,1,Sooke,450882.6972,5358557.447
465,Pied--bllled Grebe,Loons and Grebes,All,Jan-98,Count,1,Esquimalt,467062.0482,5366565.507
466,Eared Grebe,Loons and Grebes,All,Jan-98,Count,NA,Esquimalt,466732.1443,5366512.786
467,Red-necked Grebe,Loons and Grebes,All,Jan-98,Count,12,Sooke,450602.0626,5357433.552
468,Horned Grebe,Loons and Grebes,All,Jan-98,Count,8,Sooke,451748.7979,5358710.369
469,Western Grebe,Loons and Grebes,All,Jan-98,Count,NA,Esquimalt,467194.222,5366573.41
470,Double-crested Cormorant,Cormorants,All,Jan-98,Count,21,Esquimalt,467363.1675,5365659.46
471,Brandt's Cormorant,Cormorants,All,Jan-98,Count,NA,Sooke,452596.0482,5359114.589
472,Pelagic Cormorant,Cormorants,All,Jan-98,Count,5,Sooke,452600.223,5358032.517
473,Great Blue Heron,Herons,All,Jan-98,Count,4,Esquimalt,467486.2952,5366317.235
474,Mute Swan,Waterfowl,All,Jan-98,Count,5,Sooke,451855.8951,5357963.881
475,Trumpeter Swan,Waterfowl,All,Jan-98,Count,NA,Sooke,450658.5459,5357261.321
476,Canada Goose,Waterfowl,All,Jan-98,Count,126,Sooke,450113.1713,5358113.881
477,Brant,Waterfowl,All,Jan-98,Count,NA,Esquimalt,467101.0002,5364994.439
478,Wood Duck,Waterfowl,All,Jan-98,Count,NA,Esquimalt,468058.5409,5364717.676
479,Green-winged Teal,Waterfowl,All,Jan-98,Count,1,Sooke,452538.8878,5357108.102
480,Gadwall,Waterfowl,All,Jan-98,Count,NA,Esquimalt,467187.0802,5366529.519
481,Mallard,Waterfowl,All,Jan-98,Count,220,Esquimalt,467306.4362,5365526.692
482,Northern Pintail,Waterfowl,All,Jan-98,Count,8,Sooke,450221.8203,5358387.004
483,Eurasian Wigeon,Waterfowl,All,Jan-98,Count,1,Esquimalt,466760.6328,5365503.436
484,American Wigeon,Waterfowl,All,Jan-98,Count,103,Esquimalt,467274.7634,5365094.458
485,Canvasback,Waterfowl,All,Jan-98,Count,11,Esquimalt,466989.8058,5366444.596
486,Greater Scaup,Waterfowl,All,Jan-98,Count,123,Esquimalt,467903.6303,5365766.177
487,Lesser Scaup,Waterfowl,All,Jan-98,Count,NA,Sooke,450547.9842,5357953.205
488,scaup sp.,Waterfowl,All,Jan-98,Count,105,Sooke,450109.4901,5357583.716
489,Harlequin Duck,Waterfowl,All,Jan-98,Count,6,Esquimalt,467611.5368,5365714.469
490,Oldsquaw,Waterfowl,All,Jan-98,Count,29,Sooke,452332.3492,5358849.328
491,Surf Seater,Waterfowl,All,Jan-98,Count,57,Esquimalt,466981.2303,5364879.472
492,White-w inged Scoter,Waterfowl,All,Jan-98,Count,11,Esquimalt,467405.752,5364488.886
493,Common Goldeneye,Waterfowl,All,Jan-98,Count,91,Esquimalt,466817.7325,5365690.774
494,Bufflehead,Waterfowl,All,Jan-98,Count,285,Esquimalt,467532.9932,5366365.939
495,Hooded Merganser,Waterfowl,All,Jan-98,Count,34,Esquimalt,467287.0941,5366556.398
496,Common Merganser,Waterfowl,All,Jan-98,Count,1,Esquimalt,467352.6333,5366482.606
497,Red-breasted Merganser,Waterfowl,All,Jan-98,Count,160,Sooke,451598.0545,5359092.494
498,American Coot,Coots,All,Jan-98,Count,26,Esquimalt,467901.6063,5364498.391
499,Semipalmated Plover,Shorebirds,All,Jan-98,Count,NA,Sooke,450879.4146,5357505.554
500,Killdeer,Shorebirds,All,Jan-98,Count,1,Esquimalt,467142.5292,5366665.609
501,Black-bellied Plover,Shorebirds,All,Jan-98,Count,NA,Sooke,450616.3882,5359372.762
502,Black Oystercatcher,Shorebirds,All,Jan-98,Count,2,Sooke,452769.2887,5359116.365
503,Greater Yellowlegs,Shorebirds,All,Jan-98,Count,NA,Esquimalt,467134.8035,5364449.332
504,Ruddy Turnstone,Shorebirds,All,Jan-98,Count,NA,Sooke,451925.7533,5357251.093
505,Black Turnstone,Shorebirds,All,Jan-98,Count,13,Esquimalt,467662.2988,5365391.842
506,Dunlin,Shorebirds,All,Jan-98,Count,7,Sooke,449969.7066,5359364.222
507,Western Sandpiper,Shorebirds,All,Jan-98,Count,NA,Esquimalt,466949.1577,5364455.338
508,Least Sandpiper,Shorebirds,All,Jan-98,Count,NA,Esquimalt,468793.0797,5364578.66
509,Sanderllng,Shorebirds,All,Jan-98,Count,3,Sooke,451358.3786,5359991.419
510,Short-billed Dowitcher,Shorebirds,All,Jan-98,Count,NA,Esquimalt,467930.6366,5365256.416
511,Common Snipe,Shorebirds,All,Jan-98,Count,NA,Esquimalt,468090.8017,5364921.789
512,Red-necked Phalarope,Shorebirds,All,Jan-98,Count,NA,Sooke,451260.1568,5359055.698
513,Bonaparte's Gull,Gulls and Terns,All,Jan-98,Count,NA,Sooke,451280.2783,5358791.123
514,Heermann's Gull,Gulls and Terns,All,Jan-98,Count,NA,Sooke,451189.0718,5359496.101
515,Mew Gull,Gulls and Terns,All,Jan-98,Count,123,Esquimalt,467689.7857,5365594.035
516,California Gull,Gulls and Terns,All,Jan-98,Count,2,Sooke,450802.5524,5357376.275
517,Thayer's Gull,Gulls and Terns,All,Jan-98,Count,8,Sooke,450449.8065,5357600.282
518,Glaucous-winged Gull,Gulls and Terns,All,Jan-98,Count,261,Esquimalt,466901.0692,5364457.411
519,Western Gull,Gulls and Terns,All,Jan-98,Count,NA,Sooke,451407.3162,5359900.124
520,gull sp.,Gulls and Terns,All,Jan-98,Count,NA,Esquimalt,467574.0899,5364703.942
521,Caspian Tern,Gulls and Terns,All,Jan-98,Count,NA,Sooke,452621.285,5359019.33
522,Common Murra,Auks,All,Jan-98,Count,NA,Sooke,452147.794,5358805.448
523,Pigeon Guillemot,Auks,All,Jan-98,Count,2,Esquimalt,468618.7392,5364523.306
524,Marbled Murrrelet,Auks,All,Jan-98,Count,4,Sooke,452243.4249,5358069.139
525,Cassln's Auklet,Auks,All,Jan-98,Count,NA,Esquimalt,467824.5042,5365639.988
526,Rhinoceros Auklet,Auks,All,Jan-98,Count,1,Esquimalt,468295.3873,5364847.294
527,Pied-billed Grebe,Loons and Grebes,A,Jan-98,Count,NA,Esquimalt,467464.6908,5365833.804
528,Horned Grebe,Loons and Grebes,A,Jan-98,Count,NA,Esquimalt,468008.8183,5365054.654
529,Western Grebe,Loons and Grebes,A,Jan-98,Count,NA,Esquimalt,467370.7335,5364699.417
530,Double-crested Cormorant,Cormorants,A,Jan-98,Count,7,Esquimalt,466628.3659,5366733.346
531,Great Blue Heron,Herons,A,Jan-98,Count,1,Sooke,452099.541,5358347.229
532,Mute Swan,Waterfowl,A,Jan-98,Count,1,Sooke,451945.3807,5358482.502
533,Canada Goose,Waterfowl,A,Jan-98,Count,54,Sooke,451380.7934,5359377.612
534,Wood Duck,Waterfowl,A,Jan-98,Count,NA,Sooke,451573.4406,5357656.141
535,Green-winged Teal,Waterfowl,A,Jan-98,Count,NA,Sooke,450551.8196,5357554.509
536,Gadwall,Waterfowl,A,Jan-98,Count,NA,Sooke,450403.2749,5358136.693
537,Mallard,Waterfowl,A,Jan-98,Count,51,Esquimalt,466372.6008,5366754.635
538,Northern Pintail,Waterfowl,A,Jan-98,Count,NA,Esquimalt,466587.6296,5367079.369
539,Eurasian Wigeon,Waterfowl,A,Jan-98,Count,NA,Esquimalt,467486.5966,5364387.807
540,American Wigeon,Waterfowl,A,Jan-98,Count,11,Sooke,452862.9936,5357243.143
541,Canvasback,Waterfowl,A,Jan-98,Count,NA,Sooke,452715.8868,5358383.11
542,Greater Scaup,Waterfowl,A,Jan-98,Count,NA,Sooke,452664.2162,5358662.75
543,Lesser Scaup,Waterfowl,A,Jan-98,Count,NA,Sooke,451499.959,5359056.85
544,Scaup sp.,Waterfowl,A,Jan-98,Count,105,Sooke,450435.2872,5357450.555
545,Surf Scoter,Waterfowl,A,Jan-98,Count,NA,Sooke,452476.7519,5359059.996
546,Common Goldeneye,Waterfowl,A,Jan-98,Count,1,Sooke,450394.0369,5357771.45
547,Bufflehead,Waterfowl,A,Jan-98,Count,61,Sooke,452398.1392,5359044.617
548,Hooded Merganser,Waterfowl,A,Jan-98,Count,2,Sooke,451808.0601,5358577.084
549,Common Merganser,Waterfowl,A,Jan-98,Count,NA,Sooke,451540.322,5358391.999
